decoder,mode,distance,physical_error_rate,shots,logical_failures,logical_failure_rate,x_logical_failures,x_logical_failure_rate,z_logical_failures,z_logical_failure_rate,avg_x_syndrome_weight,avg_z_syndrome_weight,avg_x_matching_weight,avg_z_matching_weight
mwpm,css_xz_separated,3,0.005,1000,1,0.001,1,0.001,0,0.0,0.142,0.196,0.087,0.119
mwpm,css_xz_separated,3,0.01,1000,1,0.001,1,0.001,0,0.0,0.327,0.273,0.198,0.172
mwpm,css_xz_separated,3,0.02,1000,6,0.006,3,0.003,3,0.003,0.6,0.606,0.365,0.374
mwpm,css_xz_separated,3,0.03,1000,18,0.018,9,0.009,9,0.009,0.845,0.857,0.525,0.533
mwpm,css_xz_separated,3,0.05,1000,55,0.055,29,0.029,28,0.028,1.326,1.321,0.839,0.842
mwpm,css_xz_separated,5,0.005,1000,0,0.0,0,0.0,0,0.0,0.435,0.415,0.243,0.236
mwpm,css_xz_separated,5,0.01,1000,0,0.0,0,0.0,0,0.0,0.93,0.931,0.517,0.526
mwpm,css_xz_separated,5,0.02,1000,2,0.002,0,0.0,2,0.002,1.641,1.673,0.962,0.976
mwpm,css_xz_separated,5,0.03,1000,8,0.008,3,0.003,5,0.005,2.344,2.434,1.39,1.436
mwpm,css_xz_separated,5,0.05,1000,33,0.033,13,0.013,20,0.02,3.905,3.989,2.371,2.441
mwpm,css_xz_separated,7,0.005,1000,0,0.0,0,0.0,0,0.0,0.923,0.913,0.505,0.501
mwpm,css_xz_separated,7,0.01,1000,0,0.0,0,0.0,0,0.0,1.791,1.829,0.985,1.003
mwpm,css_xz_separated,7,0.02,1000,1,0.001,0,0.0,1,0.001,3.384,3.428,1.914,1.951
mwpm,css_xz_separated,7,0.03,1000,1,0.001,0,0.0,1,0.001,4.894,4.91,2.837,2.871
mwpm,css_xz_separated,7,0.05,1000,18,0.018,6,0.006,12,0.012,7.992,8.006,4.781,4.788
