decoder,error_type,distance,physical_error_rate,shots,logical_failures,logical_failure_rate,avg_syndrome_weight,avg_matching_weight,avg_error_weight,avg_correction_weight
mwpm,z,3,0.005,3000,0,0.0,0.16533333333333333,0.10033333333333333,0.10033333333333333,0.10033333333333333
mwpm,z,3,0.01,3000,3,0.001,0.2896666666666667,0.17733333333333334,0.17933333333333334,0.17733333333333334
mwpm,z,3,0.02,3000,4,0.0013333333333333333,0.5593333333333333,0.343,0.3496666666666667,0.343
mwpm,z,3,0.03,3000,27,0.009,0.84,0.5213333333333333,0.5333333333333333,0.5213333333333333
mwpm,z,3,0.05,3000,91,0.030333333333333334,1.3096666666666668,0.8473333333333334,0.8876666666666667,0.8473333333333334
mwpm,z,5,0.005,3000,0,0.0,0.472,0.2653333333333333,0.26666666666666666,0.2653333333333333
mwpm,z,5,0.01,3000,1,0.0003333333333333333,0.857,0.49133333333333334,0.496,0.49133333333333334
mwpm,z,5,0.02,3000,6,0.002,1.7096666666666667,0.9936666666666667,1.0066666666666666,0.9936666666666667
mwpm,z,5,0.03,3000,3,0.001,2.489333333333333,1.468,1.5013333333333334,1.468
mwpm,z,5,0.05,3000,43,0.014333333333333333,3.852,2.359,2.466666666666667,2.359
mwpm,z,7,0.005,3000,0,0.0,0.9186666666666666,0.49766666666666665,0.49933333333333335,0.49766666666666665
mwpm,z,7,0.01,3000,0,0.0,1.7863333333333333,0.9793333333333333,0.9833333333333333,0.9793333333333333
mwpm,z,7,0.02,3000,0,0.0,3.4186666666666667,1.9243333333333332,1.947,1.9243333333333332
mwpm,z,7,0.03,3000,3,0.001,5.072,2.917,2.961333333333333,2.917
mwpm,z,7,0.05,3000,26,0.008666666666666666,7.917,4.733,4.894,4.733
