shot_id,distance,error_type,physical_error_rate,from_scratch_logical_failure,pymatching_logical_failure,from_scratch_correction_weight,pymatching_correction_weight,same_correction
0,3,z,0.02,0,0,0,0,True
1,3,z,0.02,0,0,0,0,True
2,3,z,0.02,0,0,0,0,True
3,3,z,0.02,0,0,0,0,True
4,3,z,0.02,0,0,0,0,True
5,3,z,0.02,0,0,1,1,True
6,3,z,0.02,0,0,0,0,True
7,3,z,0.02,0,0,1,1,True
8,3,z,0.02,0,0,0,0,True
9,3,z,0.02,0,0,0,0,True
10,3,z,0.02,0,0,0,0,True
11,3,z,0.02,0,0,0,0,True
12,3,z,0.02,0,0,1,1,True
13,3,z,0.02,0,0,0,0,True
14,3,z,0.02,0,0,2,2,True
15,3,z,0.02,0,0,0,0,True
16,3,z,0.02,0,0,0,0,True
17,3,z,0.02,0,0,2,2,True
18,3,z,0.02,0,0,0,0,True
19,3,z,0.02,0,0,0,0,True
20,3,z,0.02,0,0,1,1,True
21,3,z,0.02,0,0,0,0,True
22,3,z,0.02,0,0,0,0,True
23,3,z,0.02,0,0,2,2,True
24,3,z,0.02,0,0,0,0,True
25,3,z,0.02,0,0,0,0,True
26,3,z,0.02,0,0,1,1,True
27,3,z,0.02,0,0,1,1,True
28,3,z,0.02,0,0,1,1,True
29,3,z,0.02,0,0,0,0,True
30,3,z,0.02,0,0,2,2,True
31,3,z,0.02,0,0,0,0,True
32,3,z,0.02,0,0,0,0,True
33,3,z,0.02,0,0,0,0,True
34,3,z,0.02,0,0,0,0,True
35,3,z,0.02,0,0,1,1,True
36,3,z,0.02,0,0,0,0,True
37,3,z,0.02,0,0,1,1,True
38,3,z,0.02,0,0,0,0,True
39,3,z,0.02,0,0,0,0,True
40,3,z,0.02,0,0,0,0,True
41,3,z,0.02,0,0,1,1,True
42,3,z,0.02,0,0,0,0,True
43,3,z,0.02,0,0,1,1,True
44,3,z,0.02,0,0,0,0,True
45,3,z,0.02,0,0,0,0,True
46,3,z,0.02,0,0,0,0,True
47,3,z,0.02,0,0,0,0,True
48,3,z,0.02,0,0,1,1,True
49,3,z,0.02,0,0,0,0,True
50,3,z,0.02,0,0,1,1,True
51,3,z,0.02,0,0,1,1,True
52,3,z,0.02,0,0,0,0,True
53,3,z,0.02,0,0,0,0,True
54,3,z,0.02,0,0,0,0,True
55,3,z,0.02,0,0,0,0,True
56,3,z,0.02,0,0,0,0,True
57,3,z,0.02,0,0,0,0,True
58,3,z,0.02,0,0,0,0,True
59,3,z,0.02,0,0,2,2,True
60,3,z,0.02,0,0,1,1,True
61,3,z,0.02,0,0,1,1,True
62,3,z,0.02,0,0,1,1,True
63,3,z,0.02,0,0,0,0,True
64,3,z,0.02,0,0,1,1,True
65,3,z,0.02,0,0,0,0,True
66,3,z,0.02,0,0,0,0,True
67,3,z,0.02,0,0,0,0,True
68,3,z,0.02,0,0,1,1,True
69,3,z,0.02,0,0,1,1,True
70,3,z,0.02,0,0,0,0,True
71,3,z,0.02,0,0,0,0,True
72,3,z,0.02,0,0,0,0,True
73,3,z,0.02,0,0,0,0,True
74,3,z,0.02,0,0,0,0,True
75,3,z,0.02,0,0,0,0,True
76,3,z,0.02,0,0,0,0,True
77,3,z,0.02,0,0,1,1,True
78,3,z,0.02,0,0,0,0,True
79,3,z,0.02,0,0,1,1,True
80,3,z,0.02,0,0,2,2,True
81,3,z,0.02,0,0,0,0,True
82,3,z,0.02,0,0,1,1,True
83,3,z,0.02,0,0,0,0,True
84,3,z,0.02,0,0,0,0,True
85,3,z,0.02,0,0,0,0,True
86,3,z,0.02,0,0,1,1,True
87,3,z,0.02,0,0,0,0,True
88,3,z,0.02,0,0,2,2,True
89,3,z,0.02,0,0,2,2,True
90,3,z,0.02,0,0,2,2,False
91,3,z,0.02,0,0,0,0,True
92,3,z,0.02,0,0,1,1,True
93,3,z,0.02,0,0,0,0,True
94,3,z,0.02,0,0,0,0,True
95,3,z,0.02,0,0,0,0,True
96,3,z,0.02,0,0,0,0,True
97,3,z,0.02,0,0,0,0,True
98,3,z,0.02,0,0,0,0,True
99,3,z,0.02,0,0,0,0,True
