decoder,error_type,distance,physical_error_rate,shots,logical_failures,logical_failure_rate,avg_syndrome_weight,avg_matching_weight,avg_error_weight,avg_correction_weight
mwpm,x,3,0.005,1000,0,0.0,0.176,0.106,0.106,0.106
mwpm,x,3,0.01,1000,5,0.005,0.304,0.188,0.188,0.188
mwpm,x,3,0.02,1000,3,0.003,0.575,0.345,0.35,0.345
mwpm,x,3,0.03,1000,10,0.01,0.823,0.512,0.534,0.512
mwpm,x,3,0.05,1000,31,0.031,1.335,0.848,0.899,0.848
mwpm,x,5,0.005,1000,0,0.0,0.458,0.258,0.26,0.258
mwpm,x,5,0.01,1000,0,0.0,0.873,0.491,0.492,0.491
mwpm,x,5,0.02,1000,0,0.0,1.686,0.975,0.983,0.975
mwpm,x,5,0.03,1000,3,0.003,2.496,1.476,1.51,1.476
mwpm,x,5,0.05,1000,11,0.011,3.982,2.435,2.532,2.435
mwpm,x,7,0.005,1000,0,0.0,0.943,0.511,0.511,0.511
mwpm,x,7,0.01,1000,0,0.0,1.744,0.968,0.976,0.968
mwpm,x,7,0.02,1000,0,0.0,3.455,1.944,1.962,1.944
mwpm,x,7,0.03,1000,0,0.0,5.027,2.938,2.985,2.938
mwpm,x,7,0.05,1000,13,0.013,7.828,4.663,4.817,4.663
