decoder,error_type,distance,physical_error_rate,shots,logical_failures,logical_failure_rate,avg_syndrome_weight,avg_matching_weight,avg_error_weight,avg_correction_weight
union_find,x,3,0.02,1000,11,0.011,0.583,0.389,0.372,0.389
union_find,x,3,0.03,1000,26,0.026,0.861,0.594,0.552,0.594
union_find,x,3,0.05,1000,43,0.043,1.335,0.978,0.885,0.976
union_find,x,3,0.07,1000,91,0.091,1.701,1.311,1.216,1.311
union_find,x,3,0.1,1000,186,0.186,2.39,2.008,1.82,1.996
union_find,x,5,0.02,1000,20,0.02,1.713,1.131,1.024,1.127
union_find,x,5,0.03,1000,27,0.027,2.501,1.705,1.495,1.701
union_find,x,5,0.05,1000,70,0.07,3.858,2.999,2.485,2.977
union_find,x,5,0.07,1000,117,0.117,5.22,4.319,3.49,4.255
union_find,x,5,0.1,1000,243,0.243,6.876,6.327,5.07,6.207
union_find,x,7,0.02,1000,13,0.013,3.363,2.117,1.903,2.109
union_find,x,7,0.03,1000,28,0.028,4.825,3.23,2.808,3.22
union_find,x,7,0.05,1000,113,0.113,7.706,6.076,4.789,5.954
union_find,x,7,0.07,1000,182,0.182,10.327,9.084,6.868,8.882
union_find,x,7,0.1,1000,307,0.307,13.685,13.181,9.713,12.851
