decoder,error_type,distance,physical_error_rate,shots,logical_failures,logical_failure_rate,avg_syndrome_weight,avg_matching_weight,avg_error_weight,avg_correction_weight
union_find,z,3,0.005,1000,2,0.002,0.176,0.112,0.106,0.112
union_find,z,3,0.01,1000,1,0.001,0.302,0.194,0.188,0.194
union_find,z,3,0.02,1000,7,0.007,0.583,0.388,0.35,0.388
union_find,z,3,0.03,1000,21,0.021,0.829,0.572,0.534,0.572
union_find,z,3,0.05,1000,43,0.043,1.331,0.983,0.899,0.983
union_find,z,5,0.005,1000,1,0.001,0.458,0.269,0.26,0.269
union_find,z,5,0.01,1000,2,0.002,0.873,0.513,0.492,0.513
union_find,z,5,0.02,1000,18,0.018,1.684,1.093,0.983,1.091
union_find,z,5,0.03,1000,23,0.023,2.518,1.72,1.51,1.716
union_find,z,5,0.05,1000,68,0.068,4.0,3.135,2.532,3.093
union_find,z,7,0.005,1000,1,0.001,0.941,0.523,0.511,0.523
union_find,z,7,0.01,1000,6,0.006,1.748,1.029,0.976,1.025
union_find,z,7,0.02,1000,21,0.021,3.445,2.187,1.962,2.179
union_find,z,7,0.03,1000,43,0.043,5.033,3.496,2.985,3.486
union_find,z,7,0.05,1000,82,0.082,7.856,6.129,4.817,6.061
